lr,bs,seed,val_loss,val_macro_f1,val_weighted_f1,test_macro_f1,test_weighted_f1,test_accuracy
3e-05,16,5768,0.93427,0.5269,0.53295,0.55559,0.54981,0.55155
3e-05,16,78516,0.992,0.51492,0.5208,0.54152,0.54111,0.54124
3e-05,16,944601,1.00799,0.51508,0.52524,0.51682,0.52069,0.52062
3e-05,8,5768,0.88689,0.59087,0.5923,0.62225,0.61756,0.61856
3e-05,8,78516,0.91312,0.56375,0.56218,0.56919,0.56435,0.56701
3e-05,8,944601,1.0497,0.53572,0.55025,0.51099,0.51992,0.52577
2e-05,16,5768,0.95706,0.51075,0.52146,0.53666,0.53962,0.54124
2e-05,16,78516,1.03161,0.47792,0.47032,0.50524,0.50146,0.50515
2e-05,16,944601,1.02246,0.46238,0.46944,0.54855,0.55246,0.55155
2e-05,8,5768,0.94316,0.50212,0.5041,0.57021,0.57408,0.57732
2e-05,8,78516,0.98108,0.44068,0.42439,0.55057,0.54017,0.55155
2e-05,8,944601,0.98211,0.48068,0.48722,0.52105,0.52633,0.52577
1e-05,16,5768,1.00727,0.48108,0.48962,0.45986,0.46302,0.46392
1e-05,16,78516,1.03875,0.42108,0.40084,0.43127,0.42578,0.43299
1e-05,16,944601,1.06434,0.38279,0.3949,0.51401,0.52125,0.52577
1e-05,8,5768,0.98724,0.49876,0.51149,0.5119,0.51257,0.51546
1e-05,8,78516,1.01447,0.44237,0.43549,0.50696,0.50298,0.50515
1e-05,8,944601,1.04454,0.44514,0.45479,0.55902,0.56092,0.56186
0.0001,16,5768,1.06361,0.49897,0.49635,0.47888,0.48409,0.48454
0.0001,16,78516,0.93306,0.50682,0.50255,0.57812,0.57642,0.57732
0.0001,16,944601,1.06024,0.31984,0.33567,0.37096,0.39313,0.46907
0.0001,8,5768,1.03216,0.4948,0.48926,0.54551,0.54546,0.54639
0.0001,8,78516,1.05358,0.51633,0.53331,0.47609,0.49235,0.5
0.0001,8,944601,1.05801,0.34092,0.36402,0.40723,0.42614,0.5
