date,n_sentences,pct_pos_finbert,pct_neg_finbert,sentiment_score_fb,vader_mean,growth_stance,llm_pct_hawkish,llm_pct_dovish,llm_stance_score,target_3d,target_10d,CPI_yoy,UNRATE
2006-01-03,5,0.8,0.0,0.8,0.34834,0.8,0.2,0.0,0.2,1,1,4.018789144050117,4.7
2006-02-21,8,0.625,0.375,0.25,0.33135000000000003,0.25,0.375,0.0,0.375,1,0,3.63825363825363,4.8
2006-04-18,10,0.7,0.2,0.49999999999999994,0.49639,0.5,0.5,0.1,0.4,1,1,3.613835828600931,4.7
2006-05-31,12,0.4166666666666667,0.4166666666666667,0.0,0.29158333333333336,-0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0,0,3.9772727272727293,4.6
2006-07-20,6,0.5,0.16666666666666666,0.33333333333333337,0.2971333333333333,0.16666666666666666,0.5,0.0,0.5,1,1,4.104669061056954,4.7
2006-10-11,4,0.5,0.25,0.25,0.037025,0.0,0.0,0.25,-0.25,1,1,1.4063284781516971,4.4
2006-11-15,5,0.4,0.6,-0.19999999999999996,-0.0063799999999999855,-0.4,0.2,0.2,0.0,1,1,1.9687026754164672,4.5
2007-10-09,8,0.125,0.875,-0.75,0.04057499999999999,-0.125,0.0,0.125,-0.125,0,0,3.610698365527476,4.7
2007-11-20,9,0.3333333333333333,0.5555555555555556,-0.22222222222222227,0.06987777777777777,-0.1111111111111111,0.0,0.3333333333333333,-0.3333333333333333,0,1,4.373267326732666,4.7
2008-01-02,6,0.6666666666666666,0.16666666666666666,0.5,0.34755,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0,0,4.294695655165981,5.0
2008-02-20,5,0.2,0.4,-0.2,0.09231999999999999,0.0,0.6,0.0,0.6,1,0,4.142959270611968,4.9
2008-04-08,9,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.3449,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,1,3.9037609759888126,5.0
2008-05-21,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16971666666666665,-0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,1,4.088413823123993,5.4
2008-07-16,6,0.5,0.5,0.0,0.4734833333333333,-0.16666666666666666,0.16666666666666666,0.3333333333333333,-0.16666666666666666,1,1,5.497512078341837,5.8
2008-08-26,8,0.5,0.5,0.0,0.32445,-0.375,0.5,0.375,0.125,1,0,5.308017162091239,6.1
2008-10-07,7,0.2857142857142857,0.7142857142857143,-0.4285714285714286,0.2283,-0.7142857142857143,0.0,0.42857142857142855,-0.42857142857142855,0,0,3.7310578899565128,6.5
2008-11-19,11,0.09090909090909091,0.6363636363636364,-0.5454545454545454,-0.24559090909090908,-0.2727272727272727,0.0,0.45454545454545453,-0.45454545454545453,1,1,1.0999174706166848,6.8
2009-01-06,5,0.2,0.6,-0.39999999999999997,-0.24544000000000002,-0.2,0.0,0.4,-0.4,0,0,-0.11358601902212717,7.8
2009-02-18,17,0.17647058823529413,0.7058823529411765,-0.5294117647058824,-0.02451176470588235,-0.11764705882352941,0.23529411764705882,0.35294117647058826,-0.11764705882352944,0,0,0.008463140671510772,8.3
2009-04-08,5,0.4,0.4,0.0,0.41747999999999996,-0.4,0.0,0.4,-0.4,1,1,-0.5763244243767063,9.0
2009-05-20,4,0.5,0.5,0.0,0.063775,0.0,0.0,0.0,0.0,1,1,-1.015761495855172,9.4
2009-07-15,10,0.3,0.5,-0.2,0.07673,0.0,0.2,0.1,0.1,1,1,-1.9587610037622771,9.5
2009-09-02,10,0.1,0.9,-0.8,-0.03547,-0.3,0.2,0.1,0.1,1,1,-1.377942862886472,9.8
2009-10-14,2,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1,0,-0.22396829420033848,10.0
2009-11-24,4,0.25,0.75,-0.5,0.32845,0.0,0.0,0.25,-0.25,0,0,1.9145871744709275,9.9
2010-01-06,4,0.25,0.5,-0.25,0.175275,0.25,0.0,0.25,-0.25,1,0,2.6211113889767157,9.8
2010-02-17,8,0.375,0.5,-0.125,0.07402500000000001,-0.125,0.25,0.25,0.0,1,1,2.151336357866529,9.8
2010-04-06,1,1.0,0.0,1.0,0.4404,1.0,0.0,0.0,0.0,1,1,2.2067707525304403,9.9
2010-05-19,9,0.3333333333333333,0.3333333333333333,0.0,0.19425555555555554,-0.1111111111111111,0.0,0.1111111111111111,-0.1111111111111111,0,0,2.003548929218568,9.6
2010-07-14,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.17433333333333334,0.0,0.0,0.3333333333333333,-0.3333333333333333,0,1,1.3407784804821077,9.4
2010-08-31,7,0.7142857142857143,0.2857142857142857,0.4285714285714286,0.5460571428571429,0.2857142857142857,0.14285714285714285,0.42857142857142855,-0.2857142857142857,1,1,1.1501775395112546,9.5
2010-10-12,17,0.23529411764705882,0.6470588235294118,-0.411764705882353,-0.004317647058823524,-0.058823529411764705,0.17647058823529413,0.17647058823529413,0.0,1,1,1.1666951489314625,9.4
2010-11-23,2,0.5,0.5,0.0,0.55135,0.5,0.0,0.0,0.0,1,1,1.084544776600338,9.8
2011-01-04,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.21230000000000002,0.0,0.0,0.0,0.0,1,1,1.7007834915029774,9.1
2011-02-16,8,0.375,0.5,-0.125,0.05982499999999998,0.5,0.125,0.375,-0.25,0,0,2.124898173333145,9.0
2011-04-05,7,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2243,0.2857142857142857,0.0,0.42857142857142855,-0.42857142857142855,0,0,3.0772344447868694,9.1
2011-05-18,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.17874285714285712,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0,0,3.4589718808964998,9.0
2011-07-12,6,0.3333333333333333,0.3333333333333333,0.0,0.1345333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1,1,3.5798809769996165,9.0
2011-08-30,6,0.3333333333333333,0.5,-0.16666666666666669,0.09354999999999998,0.0,0.0,0.5,-0.5,0,0,3.75499603070808,9.0
2011-10-12,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.14283333333333334,0.0,0.0,0.3333333333333333,-0.3333333333333333,0,1,3.5222681306640524,8.8
2011-11-22,7,0.0,0.8571428571428571,-0.8571428571428571,-0.07567142857142858,0.0,0.14285714285714285,0.2857142857142857,-0.14285714285714285,1,1,3.451432214581729,8.6
2012-01-03,4,0.0,1.0,-1.0,0.14355,-0.5,0.0,0.0,0.0,1,1,3.0087663379855023,8.3
2012-02-15,8,0.625,0.25,0.375,0.1471375,0.375,0.0,0.25,-0.25,1,1,2.8981784423473878,8.3
2012-04-03,9,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.26951111111111115,0.5555555555555556,0.0,0.3333333333333333,-0.3333333333333333,0,0,2.2731633741348567,8.2
2012-05-16,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0073999999999999995,0.3333333333333333,0.0,0.0,0.0,0,0,1.7379429374660749,8.2
2012-07-11,7,0.42857142857142855,0.5714285714285714,-0.14285714285714285,0.03215714285714286,0.2857142857142857,0.0,0.2857142857142857,-0.2857142857142857,1,0,1.4175114798464783,8.2
2012-08-22,1,0.0,1.0,-1.0,-0.3818,0.0,0.0,1.0,-1.0,0,1,1.6859349154821235,8.1
2012-10-04,5,0.4,0.2,0.2,0.42274,0.2,0.0,0.0,0.0,0,0,2.1556780595369363,7.8
2012-11-14,6,0.16666666666666666,0.8333333333333334,-0.6666666666666667,0.20786666666666664,0.0,0.0,0.3333333333333333,-0.3333333333333333,1,1,1.7960197033926262,7.7
2013-01-03,4,0.5,0.5,0.0,0.2165,0.5,0.0,0.25,-0.25,0,1,1.684061762098299,8.0
2013-02-20,3,1.0,0.0,1.0,0.5367000000000001,0.6666666666666666,0.0,0.0,0.0,0,1,2.0181404902574807,7.7
2013-04-10,4,0.5,0.25,0.25,0.06942499999999999,0.5,0.0,0.25,-0.25,0,0,1.138808047576867,7.6
2013-05-22,5,0.4,0.6,-0.19999999999999996,0.47652,0.4,0.0,0.2,-0.2,1,0,1.3903888279197085,7.5
2013-07-10,8,0.625,0.375,0.25,0.2946875,0.25,0.25,0.25,0.0,1,1,1.885471805415806,7.3
2013-08-21,1,1.0,0.0,1.0,0.4939,0.0,0.0,0.0,0.0,1,1,1.538809488600279,7.2
2013-10-09,2,1.0,0.0,1.0,0.44094999999999995,0.5,0.0,0.0,0.0,1,1,0.8767991434911471,7.2
