Model,Accuracy,CI lo,CI hi
Majority class,0.6666666666666666,0.48148148148148145,0.8148148148148148
Macro + Generic Sentiment,0.6296296296296297,0.2962962962962963,0.6666666666666666
Macro + Sent + Growth Stance,0.6296296296296297,0.2962962962962963,0.6666666666666666
Sent + Growth Stance only,0.6296296296296297,0.48148148148148145,0.8148148148148148
RF (Macro+Sent+LLM Stance),0.6296296296296297,0.4444444444444444,0.8148148148148148
Macro only,0.5925925925925926,0.2962962962962963,0.6666666666666666
Macro + Growth Stance,0.5925925925925926,0.2962962962962963,0.6666666666666666
Macro + LLM Stance,0.5925925925925926,0.2962962962962963,0.6666666666666666
Macro + Sent + LLM Stance,0.5925925925925926,0.2962962962962963,0.6666666666666666
Macro + Sent + All Stance,0.5925925925925926,0.2962962962962963,0.6666666666666666
RF (Macro+Sent+Growth Stance),0.5925925925925926,0.4074074074074074,0.7777777777777778
