id,date,sentence,sentence_length,growth_sentiment,employment_sentiment,inflation_sentiment,prediction_finbert,sentiment_score_finbert,sentiment_vader_logit,sentiment_vader_logit_score,sentiment_vader_compound,sentiment_vader_compound_score,growth_sentiment_gpt4,employment_sentiment_gpt4,inflation_sentiment_gpt4
11901.0,2015-04-08,"Imports rose in December, with an increased volume of petroleum imports, but declined in January, driven by lower prices and volumes for petroleum.",23,neutral,neutral,neutral,negative,-0.94,neutral,0.5128971385098865,positive,0.0516,neutral,neutral,positive
11902.0,2015-04-08,"Commercial and industrial loans on banks' books continued to expand strongly, reportedly in part to fund increased merger and acquisition activity.",21,positive,neutral,neutral,positive,0.9351,positive,0.6661448670999395,positive,0.6908,positive,neutral,neutral
11903.0,2015-05-20,"Measures of residential mortgage lending conditions were generally little changed over the intermeeting period, and lending volumes remained light.",19,neutral,neutral,neutral,negative,-0.441,neutral,0.5,neutral,0.0,neutral,neutral,neutral
11904.0,2015-07-08,Most participants judged that the conditions for policy firming had not yet been achieved; a number of them cautioned against a premature decision.,23,neutral,neutral,neutral,negative,-0.455,neutral,0.5192904202999741,positive,0.0772,neutral,neutral,neutral
11905.0,2015-08-19,Many members thought that labor market underutilization would be largely eliminated in the near term if economic activity evolved as they expected.,22,positive,positive,neutral,neutral,-0.048,neutral,0.5,neutral,0.0,neutral,neutral,neutral
11906.0,2015-10-08,"Available indicators of drilling activity, such as counts of rigs in operation, suggested spending would decline less rapidly in the third quarter.",22,negative,neutral,neutral,negative,-0.936,neutral,0.4680436192023592,negative,-0.128,neutral,neutral,positive
11907.0,2015-10-08,"On net, the level of GDP was anticipated to rise above its potential next year, and that gap was projected to widen gradually over the medium term.",27,positive,neutral,neutral,positive,0.9274,neutral,0.5,neutral,0.0,positive,neutral,neutral
11908.0,2016-02-17,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",25,negative,negative,neutral,negative,-0.883,negative,0.3052332371262195,negative,-0.8225,neutral,neutral,positive
11909.0,2016-04-06,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",25,negative,negative,neutral,negative,-0.883,negative,0.3052332371262195,negative,-0.8225,neutral,neutral,positive
11910.0,2016-05-18,"Manufacturing output decreased, partly reflecting the effects on export demand of earlier appreciation of the foreign exchange value of the dollar.",21,negative,neutral,neutral,negative,-0.955,positive,0.654052365591518,positive,0.6369,negative,neutral,neutral
11911.0,2016-05-18,Information on extraction and drilling activity for crude oil and natural gas in early April was consistent with further declines in mining output.,23,negative,neutral,neutral,negative,-0.964,negative,0.4265356063867507,negative,-0.296,negative,neutral,neutral
11912.0,2016-05-18,Credit conditions in municipal bond markets continued to be stable even as the situation facing Puerto Rico and its creditors deteriorated further.,22,neutral,neutral,neutral,positive,0.9187,positive,0.63920147454366,positive,0.5719,neutral,neutral,neutral
11913.0,2016-05-18,"Consistent with the downside risk to aggregate demand, the staff viewed the risks to its outlook for the unemployment rate as skewed to the upside.",25,negative,negative,neutral,negative,-0.883,negative,0.3052332371262195,negative,-0.8225,neutral,neutral,positive
11914.0,2016-07-06,"The employment report for May showed considerably weaker growth in payrolls than had been expected, and gains in previous months were revised down.",23,neutral,negative,neutral,negative,-0.965,positive,0.6163537111865438,positive,0.4741,negative,neutral,neutral
11915.0,2016-07-06,Almost all participants judged that the surprisingly weak May employment report increased their uncertainty about the outlook for the labor market.,21,neutral,negative,neutral,negative,-0.922,negative,0.449596780064486,negative,-0.2023,neutral,neutral,positive
11916.0,2016-08-17,"Equity price indexes increased, on net, despite an initial sharp decline following the Brexit vote, and corporate bond spreads declined on balance.",22,positive,neutral,neutral,positive,0.6686,positive,0.5788855158293956,positive,0.3182,positive,neutral,neutral
11917.0,2016-08-17,Participants discussed the implications of recent economic and financial developments for the economic outlook and the risks attending the outlook.,20,neutral,neutral,neutral,neutral,0.0258,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive
11918.0,2016-10-12,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11919.0,2016-10-12,"Although payrolls for state and local governments expanded in July and August, nominal construction spending by these governments declined in July.",21,negative,positive,neutral,negative,-0.89,positive,0.5788855158293956,positive,0.3182,neutral,neutral,neutral
11920.0,2016-11-23,Yield spreads for securities backed by credit card and auto loans over Treasury securities of comparable maturities were little changed on balance.,22,neutral,neutral,neutral,neutral,-0.216,positive,0.6904021378903575,positive,0.802,neutral,neutral,neutral
11921.0,2016-11-23,"Participants noted that economic growth in many foreign economies remained subdued, and that inflation rates abroad generally were still quite low.",21,negative,neutral,positive,negative,-0.837,neutral,0.5319563807976407,positive,0.128,negative,neutral,neutral
11922.0,2017-02-22,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11923.0,2017-08-16,Reports from District contacts on both manufacturing and services were also generally consistent with moderate growth in economic activity overall.,20,positive,neutral,neutral,positive,0.8942,positive,0.594307167585335,positive,0.3818,positive,neutral,neutral
11924.0,2017-11-22,Credit bureau data on loan originations and credit limits suggested that this tightening was most pronounced in the subprime segment of the market.,23,negative,neutral,neutral,negative,-0.67,positive,0.654052365591518,positive,0.6369,negative,neutral,neutral
11925.0,2017-11-22,"Although the hurricanes depressed payroll employment in September, the unemployment rate, which was less affected by the storms, declined further.",20,neutral,positive,neutral,negative,-0.914,negative,0.3146863905848918,negative,-0.7783,neutral,neutral,positive
11926.0,2018-02-21,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11927.0,2018-02-21,Incoming data suggested that economic activity abroad continued to expand at a solid pace and that this expansion was broad based across countries.,23,positive,neutral,neutral,positive,0.9288,positive,0.6083543386109735,positive,0.4404,positive,neutral,neutral
11928.0,2018-04-11,Recent data suggest that growth rates of household spending and business fixed investment have moderated from their strong fourth-quarter readings.,20,positive,neutral,neutral,negative,-0.22,positive,0.6703127684073539,positive,0.7096,neutral,neutral,positive
11929.0,2018-05-23,"In addition, a few observed that the neutral level of the federal funds rate might currently be lower than their estimates of its longer-run level.",25,neutral,neutral,neutral,negative,-0.922,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive
11930.0,2018-11-29,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.7015,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral
11931.0,2018-11-29,"Some contacts indicated that while input costs were higher, it appeared that the pass-through of these higher costs to consumer prices was limited.",23,neutral,neutral,neutral,positive,0.1466,negative,0.4436652116904393,negative,-0.2263,neutral,neutral,positive
11932.0,2018-11-29,"Household spending has continued to grow strongly, while growth of business fixed investment has moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.8514,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral
11933.0,2019-01-09,Some participants expressed an interest in learning more about possible options for new ceiling tools to provide firmer control of the policy rate.,23,neutral,neutral,neutral,positive,0.5689,positive,0.6127294642065295,positive,0.4588,neutral,neutral,positive
11934.0,2019-01-09,"Exports declined a little, with decreases in exports of agricultural products and capital goods, although exports of industrial supplies increased.",20,neutral,neutral,neutral,negative,-0.924,positive,0.654052365591518,positive,0.6369,neutral,neutral,positive
11935.0,2019-01-09,"The U.S. dollar appreciated modestly; although declines in U.S. yields weighed on the dollar, deteriorating global risk sentiment provided support.",20,neutral,neutral,positive,positive,0.84,positive,0.624947117938639,positive,0.5106,neutral,neutral,positive
11936.0,2019-01-09,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.7015,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral
11937.0,2019-01-09,"Household spending had continued to grow strongly, while growth of business fixed investment had moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.7015,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral
11938.0,2019-01-09,"Household spending has continued to grow strongly, while growth of business fixed investment has moderated from its rapid pace earlier in the year.",23,positive,neutral,neutral,positive,0.8514,positive,0.63920147454366,positive,0.5719,positive,neutral,neutral
11939.0,2019-02-20,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11940.0,2019-04-10,"Total PCE price inflation was forecast to run a bit below core inflation over the next three years, reflecting projected declines in energy prices.",24,neutral,neutral,positive,negative,-0.81,positive,0.5678783310011088,positive,0.2732,neutral,neutral,positive
11941.0,2019-04-10,"Participants cited various factors as likely to contribute to the step-down, including slower foreign growth and waning effects of fiscal stimulus.",21,negative,neutral,No majority found,negative,-0.83,positive,0.594307167585335,positive,0.3818,negative,neutral,neutral
11942.0,2019-05-22,These factors were thought to have helped buoy consumer and business confidence or to have mitigated short-term downside risks to the real economy.,23,positive,neutral,neutral,positive,0.9068,positive,0.6083543386109735,positive,0.4404,neutral,neutral,neutral
11943.0,2019-07-10,"Equity prices fell notably over the first few weeks of the period, primarily in response to the escalation of trade tensions with China and Mexico.",25,negative,neutral,neutral,negative,-0.965,negative,0.4211144841706044,negative,-0.3182,negative,neutral,neutral
11944.0,2019-10-09,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,23,positive,positive,neutral,positive,0.9315,positive,0.6682542826737791,positive,0.7003,positive,neutral,neutral
11945.0,2019-11-20,"Moreover, participants generally expected that trade uncertainty and sluggish global growth would continue to damp investment spending and exports.",19,negative,neutral,neutral,negative,-0.939,negative,0.4106691108495632,negative,-0.3612,negative,neutral,neutral
11946.0,2020-01-03,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,23,positive,positive,neutral,positive,0.9315,positive,0.6682542826737791,positive,0.7003,positive,neutral,neutral
11947.0,2020-02-19,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11948.0,2020-02-19,"Available monthly data suggested that imports fell significantly, led by declines in consumer goods and automobiles, while exports were about flat.",21,negative,neutral,neutral,negative,-0.957,positive,0.6083543386109735,positive,0.4404,neutral,neutral,neutral
11949.0,2020-04-08,"Yields on nominal Treasury securities plummeted across the maturity spectrum, with the 10- and 30-year yields reaching all-time lows at some point.",22,neutral,neutral,No majority found,negative,-0.96,positive,0.5734643936132494,positive,0.296,neutral,neutral,neutral
11950.0,2020-05-20,"This reading highlighted possible vulnerabilities in mortgage servicers, insurance companies, and large, highly leveraged financial intermediaries.",16,negative,neutral,neutral,negative,-0.83,neutral,0.5319563807976407,positive,0.128,neutral,neutral,neutral
11951.0,2020-10-07,"The unemployment rates for African Americans, Asians, and Hispanics declined over the past two months but remained well above the national average.",22,neutral,positive,neutral,negative,-0.833,negative,0.3916456613890264,negative,-0.4404,neutral,neutral,neutral
11952.0,2020-10-07,Foreign economic activity plunged in the second quarter as a result of the COVID-19 pandemic and the associated restrictive measures to contain it.,23,negative,neutral,neutral,negative,-0.96,neutral,0.5,neutral,0.0,negative,neutral,neutral
11953.0,2020-11-25,"Total nonfarm payroll employment expanded strongly in September, but the gain was markedly below the even larger increases seen in previous months.",22,neutral,positive,neutral,positive,0.384,positive,0.6993490465266773,positive,0.8442,positive,neutral,neutral
11954.0,2020-11-25,Uncertainty about additional U.S. fiscal stimulus and the outcome of the U.S. presidential election also caused some asset price volatility abroad.,21,negative,neutral,neutral,negative,-0.903,neutral,0.5064496422423137,neutral,0.0258,neutral,neutral,positive
11955.0,2020-11-25,"However, the uncertainty surrounding earning prospects was reportedly making many business owners less willing to take on debt at prevailing terms.",21,negative,neutral,neutral,negative,-0.943,negative,0.4008559301877525,negative,-0.4019,neutral,neutral,positive
11956.0,2021-01-06,Market participants had highlighted that uncertainty nevertheless remained high and had pointed to several prominent risks to the economic outlook.,20,negative,neutral,neutral,negative,-0.67,neutral,0.5128971385098865,positive,0.0516,neutral,neutral,neutral
11957.0,2021-01-06,Short-term delinquencies and defaults remained relatively elevated but significantly lower than the levels observed following the financial crisis.,18,negative,neutral,neutral,negative,-0.761,negative,0.3240765667941439,negative,-0.7351,neutral,neutral,neutral
11958.0,2021-02-17,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11959.0,2021-02-17,"Spreads on agency CMBS ticked down, on net, and issuance remained elevated through December, although below its recent historical high in October.",22,No majority found,neutral,neutral,negative,-0.962,neutral,0.5,neutral,0.0,neutral,neutral,neutral
11960.0,2021-05-19,Total PCE price inflation was 1.6 percent over the 12 months ending in February and continued to be held down by low rates of resource utilization.,26,negative,neutral,positive,negative,-0.948,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive
11961.0,2021-05-19,The staff noted that corporate bond spreads had declined notably since late last year and were at the lower ends of their historical distributions.,24,positive,neutral,neutral,negative,-0.963,negative,0.4321216689988913,negative,-0.2732,positive,neutral,neutral
11962.0,2021-07-07,"Lower term premiums appeared to be a significant component of the declines, as reflected by lower implied volatility on longer-term interest rates.",22,negative,neutral,neutral,negative,-0.833,neutral,0.5382004122365355,positive,0.1531,neutral,neutral,positive
11963.0,2021-07-07,"For commercial real estate (CRE) financed through capital markets, financing conditions remained mostly accommodative over the intermeeting period.",18,positive,neutral,neutral,neutral,-0.014,neutral,0.5,neutral,0.0,neutral,neutral,neutral
11964.0,2021-10-13,"In the euro area and the United Kingdom, higher-than-expected inflation data contributed to the rise in yields and inflation compensation measures.",21,neutral,neutral,negative,positive,0.908,positive,0.6038421309156661,positive,0.4215,neutral,neutral,positive
11965.0,2022-01-05,A couple of others noted the risk that persistent real wage growth in excess of productivity growth could trigger inflationary wageprice dynamics.,22,neutral,No majority found,negative,negative,-0.931,positive,0.6661448670999395,positive,0.6908,neutral,neutral,positive
11966.0,2022-01-05,Supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation.,23,neutral,neutral,negative,negative,-0.888,neutral,0.4680436192023592,negative,-0.128,neutral,neutral,positive
11967.0,2022-02-16,For any operation that involves standalone spot or forward transactions in foreign currencies:A. Approval of such operation is required as follows:,21,neutral,neutral,neutral,neutral,0.0114,positive,0.6169683256234894,positive,0.4767,neutral,neutral,positive
11968.0,2022-02-16,"Far forward real yields moved higher over the period, with much of the increase following the release of the minutes for the December FOMC meeting.",25,neutral,neutral,neutral,positive,0.9263,positive,0.5788855158293956,positive,0.3182,neutral,neutral,positive
11969.0,2022-02-16,Supply and demand imbalances related to the pandemic and the reopening of the economy have continued to contribute to elevated levels of inflation.,23,neutral,neutral,negative,negative,-0.888,neutral,0.4680436192023592,negative,-0.128,neutral,neutral,positive
11970.0,2022-04-06,"The effective federal funds rate and the Secured Overnight Financing Rate generally held steady at 8 basis points and 5 basis points, respectively.",23,neutral,neutral,neutral,neutral,0.0088,positive,0.6904021378903575,positive,0.802,neutral,neutral,positive
11971.0,2022-04-06,They further judged that ongoing increases in the target range for the federal funds rate would be warranted to achieve the Committee's objectives.,23,neutral,neutral,No majority found,positive,0.8748,positive,0.5788855158293956,positive,0.3182,neutral,neutral,neutral
11972.0,2022-05-25,"The unemployment rates for African Americans and for Hispanics moved lower, though both rates remained noticeably higher than the national average.",21,neutral,positive,neutral,negative,-0.766,negative,0.3486678448481406,negative,-0.6249,neutral,neutral,positive
11973.0,2022-07-06,"The private-sector job openings rate, as measured by the Job Openings and Labor Turnover Survey, edged lower in April but remained at a high level.",25,neutral,positive,neutral,negative,-0.935,negative,0.4265356063867507,negative,-0.296,neutral,neutral,neutral
11974.0,2022-07-06,"A couple of participants raised the possibility that tight labor markets would spur investment in automation by firms, boosting labor productivity.",21,positive,negative,neutral,positive,0.916,positive,0.5991440698122475,positive,0.4019,positive,neutral,neutral
11975.0,2022-08-17,"Nominal wage growth continued to be rapid and broad based, with average hourly earnings having risen 5.1 percent over the 12 months ending in June.",25,neutral,positive,neutral,positive,0.9341,positive,0.594307167585335,positive,0.3818,positive,neutral,neutral
11976.0,2022-11-23,The number of home-purchase and refinance mortgage originations were about flat in August and September but down significantly from late last year.,22,negative,neutral,neutral,negative,-0.964,neutral,0.5192904202999741,positive,0.0772,neutral,neutral,neutral
11977.0,2023-02-22,"The market-implied federal funds rate path for 2023 was little changed, on net, during the intermeeting period but fell moderately beyond mid-2024.",22,neutral,neutral,neutral,negative,-0.933,neutral,0.5,neutral,0.0,neutral,neutral,neutral
11978.0,2023-02-22,"Interest rates on existing credit cards continued to increase in recent months, and interest rates on new auto loans also rose through mid-January.",23,negative,neutral,neutral,positive,0.9286,positive,0.7051616859142585,positive,0.872,neutral,neutral,positive
11979.0,2023-02-22,A few participants remarked that recent failures of companies involved in crypto finance have had a limited effect on the broader financial system.,23,negative,neutral,neutral,negative,-0.821,negative,0.345947634408482,negative,-0.6369,neutral,neutral,neutral
11980.0,2006-01-03,Members concurred that the statement should note that the expansion remained solid despite elevated energy prices and hurricane-related disruptions.,19,positive,neutral,negative,positive,0.917,negative,0.4001836399874454,negative,-0.4047,positive,neutral,neutral
11981.0,2006-02-21,M2 expanded at a somewhat faster pace in the fourth quarter than had been predicted from historical relationships with income and opportunity costs.,23,neutral,neutral,negative,positive,0.9309,positive,0.6513321551518594,positive,0.6249,positive,neutral,neutral
11982.0,2006-04-18,"To date, unit labor costs were not placing pressure on inflation, and high profit margins left firms a considerable buffer to absorb cost increases.",24,neutral,neutral,positive,positive,0.655,positive,0.6038421309156661,positive,0.4215,neutral,neutral,positive
11983.0,2006-05-31,"While manufacturing growth for the first quarter as a whole slowed from the rapid pace of the fourth quarter, it exceeded that of the previous year.",26,positive,neutral,neutral,negative,-0.888,positive,0.594307167585335,positive,0.3818,neutral,neutral,positive
11984.0,2006-05-31,"Domestic nonfinancial sector debt was estimated to have grown at a robust pace in the first quarter, down only slightly from the brisk pace of 2005.",26,neutral,neutral,neutral,negative,-0.916,neutral,0.5133468285438566,positive,0.0534,positive,neutral,neutral
11985.0,2006-05-31,"And, even if nominal wages should accelerate somewhat, relatively wide profit margins could buffer the effect on prices of final goods and services.",23,neutral,neutral,positive,positive,0.7777,positive,0.6624653314639486,positive,0.6743,neutral,neutral,positive
11986.0,2006-07-20,The pass-through of the substantial rise in energy prices could account for a considerable part of the step-up in core inflation in recent quarters.,24,neutral,neutral,negative,neutral,0.3456,positive,0.6083543386109735,positive,0.4404,neutral,neutral,positive
11987.0,2007-10-09,Growth of nonfinancial domestic debt was estimated to have slowed a little in the third quarter from the average pace in the first half of the year.,27,neutral,neutral,neutral,negative,-0.949,neutral,0.5064496422423137,neutral,0.0258,neutral,neutral,neutral
11988.0,2008-01-02,"TIPS yields fell less than their nominal counterparts, implying modest declines in inflation compensation both at the five-year and longer horizons.",21,neutral,neutral,positive,negative,-0.811,neutral,0.5,neutral,0.0,neutral,neutral,positive
11989.0,2008-02-20,"In this context, the Committee judged that some inflation risk remained and said that it would continue to monitor inflation developments carefully.",22,neutral,neutral,negative,neutral,0.161,neutral,0.4617995877634644,negative,-0.1531,neutral,neutral,positive
11990.0,2008-04-08,"Real outlays for nondurable and durable consumer goods, including automobiles, were estimated to have declined, on average, in January and February.",21,negative,neutral,neutral,negative,-0.964,positive,0.6083543386109735,positive,0.4404,negative,neutral,neutral
11991.0,2008-04-08,"Most other categories of imports dropped in December and January on net, with especially large declines in imports of automotive and consumer goods.",23,negative,neutral,neutral,negative,-0.965,neutral,0.5342462962794261,positive,0.1372,neutral,neutral,neutral
11992.0,2008-04-08,"In discussing the external sector of the economy, some participants indicated that net exports remained a notable source of support for the economy.",23,positive,neutral,neutral,positive,0.8618,positive,0.5991440698122475,positive,0.4019,neutral,neutral,positive
11993.0,2008-07-16,"Manufacturing output also fell in April and was unchanged in May; over the two months, factory production slowed across a broad range of industries.",24,negative,neutral,neutral,negative,-0.966,neutral,0.5,neutral,0.0,negative,neutral,neutral
11994.0,2008-07-16,"Over the intermeeting period, spreads of rates on conforming residential mortgages over comparable-maturity Treasury securities remained about flat.",18,neutral,neutral,neutral,negative,-0.42,positive,0.6210247413644827,positive,0.4939,neutral,neutral,neutral
11995.0,2008-10-07,"Tight conditions in mortgage markets over the summer continued to restrain housing demand, especially for borrowers seeking nonconforming mortgages.",19,negative,neutral,neutral,negative,-0.96,neutral,0.4680436192023592,negative,-0.128,negative,neutral,neutral
11996.0,2008-11-19,"Measures of consumer sentiment dropped in October to near or below their low levels of midyear, with the Conference Board measure exceptionally low.",23,negative,neutral,neutral,negative,-0.967,negative,0.3433050934392716,negative,-0.6486,negative,neutral,neutral
11997.0,2009-01-06,"The unemployment rate climbed to 6.7 percent in November, while the labor force participation rate fell after remaining steady for much of the year.",24,neutral,negative,neutral,negative,-0.953,negative,0.3916456613890264,negative,-0.4404,neutral,neutral,positive
11998.0,2009-01-06,"Sales of existing single-family homes changed little, although a drop in pending home sales in October pointed to further declines in the near term.",24,negative,neutral,neutral,negative,-0.907,negative,0.4491761350327461,negative,-0.204,neutral,neutral,neutral
11999.0,2009-02-18,"In other cases, the Federal Reserve eventually may have to take a more active role in scaling back programs by adjusting their terms and conditions.",25,neutral,neutral,neutral,neutral,-0.137,positive,0.5991440698122475,positive,0.4019,neutral,neutral,neutral
12000.0,2009-04-08,"Expenditures were being cut substantially for a wide range of capital equipment, and spending on nonresidential structures had recently turned down.",21,negative,neutral,neutral,negative,-0.959,negative,0.4321216689988913,negative,-0.2732,negative,neutral,neutral
12001.0,2009-05-20,"As of April 22, the System's total assets and liabilities were close to $2.2 trillion, about $130 billion higher than just before the March meeting.",25,positive,neutral,neutral,positive,0.7513,neutral,0.5443580731214791,positive,0.1779,neutral,neutral,positive
12002.0,2009-07-15,Rates for conforming 30-year fixed-rate mortgages rose on net between late April and late June but remained below the levels seen over most of 2008.,25,neutral,neutral,neutral,negative,-0.337,neutral,0.5,neutral,0.0,neutral,neutral,neutral
12003.0,2009-07-15,"Purchasing managers indexes rebounded from the exceptionally low levels reached in the first quarter, and industrial production stabilized somewhat.",19,neutral,neutral,neutral,positive,0.7796,negative,0.4361505011420874,negative,-0.2568,neutral,neutral,neutral
12004.0,2009-07-15,The expected path of the federal funds rate implied by futures prices was largely unchanged by the release of the Committee's statement and minutes.,24,neutral,neutral,neutral,neutral,-0.053,neutral,0.5,neutral,0.0,neutral,neutral,neutral
12005.0,2009-07-15,"Over the intermeeting period, functioning in the market for Treasury securities generally improved and trading picked up, but some strains remained.",21,positive,neutral,neutral,positive,0.5688,positive,0.6703127684073539,positive,0.7096,positive,neutral,neutral
12006.0,2009-07-15,Participants noted the considerable uncertainty surrounding estimates of the output and unemployment gaps and the extent of their effects on prices.,21,negative,negative,neutral,negative,-0.91,negative,0.3433050934392716,negative,-0.6486,neutral,neutral,neutral
12007.0,2009-09-02,"The on-the-run liquidity premium for the 10-year Treasury note was little changed at elevated levels, although it was well below its peak last fall.",24,neutral,neutral,neutral,negative,-0.45,positive,0.5504032199355139,positive,0.2023,neutral,neutral,neutral
12008.0,2010-01-06,The staff interpreted the increases in prices of energy and nonmarket services that recently boosted consumer price inflation as largely transitory.,21,neutral,neutral,negative,negative,-0.374,positive,0.6741246306283071,positive,0.7269,neutral,neutral,positive
12009.0,2010-02-17,Spreads on A2/P2-rated commercial paper (CP) and AA-rated asset-backed CP held steady at the low end of the range that has prevailed since mid-2007.,24,neutral,neutral,neutral,negative,-0.774,neutral,0.5256524569705925,positive,0.1027,neutral,neutral,neutral
12010.0,2010-05-19,"The drop in commercial real estate loans persisted, reflecting weak fundamentals that limited originations as well as charge-offs of existing loans.",21,negative,neutral,neutral,negative,-0.96,negative,0.3515119200515958,negative,-0.6124,negative,neutral,neutral
12011.0,2010-08-31,"The central banks of a number of EMEs, including Brazil, Chile, India, Malaysia, South Korea, Taiwan, and Thailand, increased policy interest rates.",22,neutral,neutral,No majority found,positive,0.6617,positive,0.6639172257204139,positive,0.6808,neutral,neutral,positive
12012.0,2010-10-12,Conditions in short-term funding markets continued to improve following the recent stresses related to concerns about financial stability in Europe.,20,neutral,neutral,neutral,positive,0.9385,neutral,0.5064496422423137,neutral,0.0258,neutral,neutral,neutral
12013.0,2010-10-12,The softer tone of incoming economic data suggested that the underlying level of demand was weaker than projected at the time of the August meeting.,25,negative,neutral,neutral,negative,-0.961,negative,0.3712868889590731,negative,-0.5267,negative,neutral,neutral
12014.0,2011-01-04,"Although inventory-sales ratios rose during the third quarter, survey data implied that few businesses perceived inventory stocks as being too high.",21,positive,neutral,neutral,positive,0.1067,neutral,0.5,neutral,0.0,neutral,neutral,neutral
12015.0,2011-01-04,"The spread between mortgage rates and MBS yields dropped back, reversing the widening of the spread that occurred over the preceding several months.",23,No majority found,neutral,neutral,negative,-0.943,negative,0.4321216689988913,negative,-0.2732,neutral,neutral,positive
12016.0,2011-01-04,"Although consumer credit contracted in the third quarter, the decline was the smallest since late 2008, and consumer credit edged higher in October.",23,neutral,neutral,neutral,negative,-0.939,positive,0.654052365591518,positive,0.6369,neutral,neutral,positive
12017.0,2011-02-16,Participants noted that many of the factors that contributed to the recent apparent rise in structural unemployment were likely to recede over time.,23,neutral,negative,neutral,negative,-0.371,negative,0.3916456613890264,negative,-0.4404,neutral,neutral,neutral
12018.0,2011-02-16,"The unemployment rate decreased to 9.4 percent in December, but this decline in part reflected a further drop in the labor force participation rate.",24,neutral,positive,neutral,negative,-0.95,negative,0.3515119200515958,negative,-0.6124,neutral,neutral,positive
12019.0,2011-02-16,"In December and early January, survey measures of households' long-term inflation expectations stayed in the range that has prevailed for some time.",22,neutral,neutral,neutral,negative,-0.568,neutral,0.5,neutral,0.0,neutral,neutral,positive
12020.0,2011-02-16,Participants' judgment that the economic recovery was on a firmer footing was supported by the strength in household spending in the fourth quarter.,23,positive,neutral,neutral,positive,0.9282,positive,0.6703127684073539,positive,0.7096,positive,neutral,neutral
