lr,bs,seed,val_loss,val_macro_f1,val_weighted_f1,test_macro_f1,test_weighted_f1,test_accuracy
3e-05,16,5768,0.95857,0.54194,0.54952,0.58259,0.58273,0.58247
3e-05,16,78516,0.93548,0.55369,0.55631,0.51434,0.51609,0.51546
3e-05,16,944601,1.00225,0.51683,0.52657,0.51278,0.51629,0.51546
3e-05,8,5768,0.97267,0.54344,0.54852,0.5904,0.59068,0.59278
3e-05,8,78516,0.89621,0.57709,0.5814,0.56903,0.57596,0.57732
3e-05,8,944601,0.95495,0.56204,0.56665,0.62633,0.62304,0.62371
2e-05,16,5768,0.96443,0.53779,0.54411,0.56619,0.56664,0.56701
2e-05,16,78516,0.94481,0.52776,0.52864,0.51621,0.51559,0.51546
2e-05,16,944601,1.005,0.50478,0.51997,0.46284,0.46963,0.47423
2e-05,8,5768,0.97217,0.5154,0.52297,0.52082,0.52333,0.53093
2e-05,8,78516,0.88824,0.57723,0.58139,0.53397,0.5404,0.54124
2e-05,8,944601,0.97523,0.57062,0.58219,0.51282,0.51758,0.52062
1e-05,16,5768,1.05631,0.49327,0.48592,0.49944,0.49799,0.5
1e-05,16,78516,1.04681,0.45689,0.45637,0.45879,0.45873,0.45876
1e-05,16,944601,1.05846,0.43009,0.43757,0.42766,0.43262,0.43299
1e-05,8,5768,1.0111,0.50027,0.50482,0.50379,0.50552,0.50515
1e-05,8,78516,0.97697,0.52228,0.52374,0.45571,0.45945,0.45876
1e-05,8,944601,1.01477,0.4919,0.49962,0.44488,0.44756,0.44845
0.0001,16,5768,1.06988,0.35607,0.38597,0.39623,0.41839,0.47423
0.0001,16,78516,0.99265,0.48006,0.49015,0.41146,0.41855,0.45361
0.0001,16,944601,1.0038,0.47839,0.48227,0.55437,0.55201,0.5567
0.0001,8,5768,1.04855,0.579,0.58311,0.60708,0.60395,0.60825
0.0001,8,78516,0.93159,0.61802,0.62796,0.54147,0.55592,0.56701
0.0001,8,944601,0.98446,0.54004,0.55293,0.52561,0.52311,0.52577
