lr,bs,seed,val_loss,val_macro_f1,val_weighted_f1,test_macro_f1,test_weighted_f1,test_accuracy
3e-05,16,5768,1.02093,0.49548,0.50255,0.52174,0.53408,0.53093
3e-05,16,78516,1.01327,0.53577,0.55212,0.50459,0.52156,0.53093
3e-05,16,944601,0.99837,0.4952,0.51088,0.49421,0.50975,0.52062
3e-05,8,5768,1.05486,0.28438,0.28698,0.37376,0.37907,0.41753
3e-05,8,78516,1.01639,0.5476,0.56271,0.50551,0.51958,0.52577
3e-05,8,944601,1.07033,0.35223,0.34872,0.33245,0.34009,0.41237
2e-05,16,5768,1.01803,0.4995,0.51373,0.52635,0.54197,0.54124
2e-05,16,78516,1.04207,0.47829,0.47981,0.4963,0.50792,0.50515
2e-05,16,944601,0.99578,0.54241,0.55337,0.55788,0.56987,0.56701
2e-05,8,5768,1.03586,0.46427,0.46521,0.51548,0.5165,0.52062
2e-05,8,78516,1.00683,0.5152,0.52846,0.52304,0.5399,0.54124
2e-05,8,944601,1.04025,0.40847,0.42255,0.42659,0.45032,0.48454
1e-05,16,5768,1.01267,0.49199,0.50698,0.51612,0.53477,0.53608
1e-05,16,78516,1.04305,0.51525,0.52308,0.50333,0.51857,0.51546
1e-05,16,944601,1.02348,0.48903,0.50423,0.46313,0.48433,0.48454
1e-05,8,5768,1.0134,0.47546,0.49385,0.52712,0.5466,0.55155
1e-05,8,78516,1.04209,0.4619,0.47896,0.46901,0.48571,0.48969
1e-05,8,944601,1.01157,0.54907,0.55988,0.50519,0.5236,0.52062
0.0001,16,5768,0.97942,0.47135,0.48823,0.49613,0.50952,0.53093
0.0001,16,78516,1.09128,0.46356,0.48331,0.42644,0.44691,0.5
0.0001,16,944601,1.08279,0.24924,0.25988,0.27752,0.28889,0.37629
0.0001,8,5768,1.03723,0.50036,0.51383,0.49712,0.51353,0.52062
0.0001,8,78516,1.06034,0.37849,0.39093,0.38863,0.40843,0.45361
0.0001,8,944601,0.98906,0.47272,0.48464,0.47528,0.48513,0.48969
